Fecha,Magnitud,Profundidad,Ubicación,Latitud,Longitud,Tipo,Estatus,Tsunami,Alerta,Significancia,Tipo de Origen,Fuente
1616791828068,2.5,34.8,"12 km WSW of Eureka Roadhouse, Alaska",61.8946,-147.392,earthquake,reviewed,0,,96,,ak
1616523720518,2.5,69.1,"30 km NNE of Skwentna, Alaska",62.2251,-151.0941,earthquake,reviewed,0,,96,,ak
1616434907330,4.2,130.2,"41 km E of Pedro Bay, Alaska",59.8435,-153.3672,earthquake,reviewed,1,,288,,ak
1616411079284,2.8,76.3,"4 km NW of Petersville, Alaska",62.5279,-150.8202,earthquake,reviewed,0,,121,,ak
1616334942893,2.5,136.5,"67 km ENE of Port Alsworth, Alaska",60.38,-153.1522,earthquake,reviewed,0,,96,,ak
1616253315786,3.3,6.8,"7 km NNE of Cantwell, Alaska",63.4569,-148.8993,earthquake,reviewed,0,,168,,ak
1616250678487,2.5,27.8,"13 km W of Point Possession, Alaska",60.9294,-150.9453,earthquake,reviewed,0,,96,,ak
1616183321192,2.5,121.8,"47 km E of Pedro Bay, Alaska",59.8561,-153.2745,earthquake,reviewed,0,,96,,ak
1616114282377,2.6,7.6,"26 km E of Denali National Park, Alaska",63.5386,-151.1958,earthquake,reviewed,0,,104,,ak
1616043565082,3.1,71.4,"54 km NNE of Chase, Alaska",62.8955,-149.6536,earthquake,reviewed,0,,148,,ak
1616004172451,2.5,9.0,"29 km NW of Valdez, Alaska",61.2857,-146.7884,earthquake,reviewed,0,,96,,ak
1616002833623,2.8,118.6,"49 km E of Ugashik, Alaska",57.5593,-156.5743,earthquake,reviewed,0,,121,,ak
1615990856140,2.7,1.8,"39 km NW of Willow, Alaska",61.9876,-150.5971,earthquake,reviewed,0,,112,,ak
1615932281376,2.7,19.9,Central Alaska,64.8318,-149.0149,earthquake,reviewed,0,,112,,ak
1615932138144,2.5,5.9,"25 km NNE of Four Mile Road, Alaska",64.8281,-149.0076,earthquake,reviewed,0,,96,,ak
1615900451092,2.6,116.8,"43 km E of Pedro Bay, Alaska",59.8174,-153.3271,earthquake,reviewed,0,,104,,ak
1615820806203,2.5,150.9,"31 km SE of Kokhanok, Alaska",59.2171,-154.4226,earthquake,reviewed,0,,96,,ak
1615817946394,2.6,66.5,"24 km W of Happy Valley, Alaska",59.9814,-152.165,earthquake,reviewed,0,,104,,ak
1615777308080,2.9,161.0,"50 km NE of Pedro Bay, Alaska",60.087,-153.4199,earthquake,reviewed,0,,129,,ak
1615618666155,3.8,83.3,"41 km WNW of Nanwalek, Alaska",59.5027,-152.6014,earthquake,reviewed,0,,227,,ak
